OBJECTID;UTMNameFul;Status;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
1;FL7766;незаети площадки;Петрич;Petrich;Коларово;село;Kolarovo;village;Благоевград;Blagoevgrad;37989;23.104509;41.363926;КОЛАРОВОПЕТРИЧ
2;FL8726;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village;Благоевград;Blagoevgrad;3294;23.131587;41.36784;БЕЛАСИЦАПЕТРИЧ
3;FL6777;незаети площадки;Петрич;Petrich;Ключ;село;Klyuch;village;Благоевград;Blagoevgrad;37349;23.021417;41.362152;КЛЮЧПЕТРИЧ
4;FL7797;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village;Благоевград;Blagoevgrad;3294;23.131587;41.36784;БЕЛАСИЦАПЕТРИЧ
5;FL6748;незаети площадки;Петрич;Petrich;Габрене;село;Gabrene;village;Благоевград;Blagoevgrad;14091;22.973653;41.367462;ГАБРЕНЕПЕТРИЧ
6;FL7748;незаети площадки;Петрич;Petrich;Коларово;село;Kolarovo;village;Благоевград;Blagoevgrad;37989;23.104509;41.363926;КОЛАРОВОПЕТРИЧ
7;FL8708;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village;Благоевград;Blagoevgrad;3294;23.131587;41.36784;БЕЛАСИЦАПЕТРИЧ
8;FL8748;незаети площадки;Петрич;Petrich;Петрич;град;Petrich;town;Благоевград;Blagoevgrad;56126;23.206857;41.398129;ПЕТРИЧПЕТРИЧ
9;FL6769;незаети площадки;Петрич;Petrich;Габрене;село;Gabrene;village;Благоевград;Blagoevgrad;14091;22.973653;41.367462;ГАБРЕНЕПЕТРИЧ
10;FL6799;незаети площадки;Петрич;Petrich;Ключ;село;Klyuch;village;Благоевград;Blagoevgrad;37349;23.021417;41.362152;КЛЮЧПЕТРИЧ
11;FL7739;незаети площадки;Петрич;Petrich;Самуилово;село;Samuilovo;village;Благоевград;Blagoevgrad;65293;23.091204;41.371485;САМУИЛОВОПЕТРИЧ
12;FL7799;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village;Благоевград;Blagoevgrad;3294;23.131587;41.36784;БЕЛАСИЦАПЕТРИЧ
13;FL8729;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village;Благоевград;Blagoevgrad;3294;23.131587;41.36784;БЕЛАСИЦАПЕТРИЧ
14;FL7850;незаети площадки;Петрич;Petrich;Коларово;село;Kolarovo;village;Благоевград;Blagoevgrad;37989;23.104509;41.363926;КОЛАРОВОПЕТРИЧ
15;FL7801;незаети площадки;Петрич;Petrich;Ключ;село;Klyuch;village;Благоевград;Blagoevgrad;37349;23.021417;41.362152;КЛЮЧПЕТРИЧ
16;FL7811;незаети площадки;Петрич;Petrich;Камена;село;Kamena;village;Благоевград;Blagoevgrad;35688;23.070218;41.364361;КАМЕНАПЕТРИЧ
17;FL8801;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village;Благоевград;Blagoevgrad;3294;23.131587;41.36784;БЕЛАСИЦАПЕТРИЧ
18;FL8803;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village;Благоевград;Blagoevgrad;3294;23.131587;41.36784;БЕЛАСИЦАПЕТРИЧ
19;FL6884;незаети площадки;Петрич;Petrich;Боровичене;село;Borovichene;village;Благоевград;Blagoevgrad;5596;23.010262;41.419608;БОРОВИЧЕНЕПЕТРИЧ
20;FL7814;незаети площадки;Петрич;Petrich;Кладенци;село;Kladentsi;village;Благоевград;Blagoevgrad;37143;23.041449;41.424327;КЛАДЕНЦИПЕТРИЧ
21;FL7835;незаети площадки;Петрич;Petrich;Самуилово;село;Samuilovo;village;Благоевград;Blagoevgrad;65293;23.091204;41.371485;САМУИЛОВОПЕТРИЧ
22;FL8815;незаети площадки;Петрич;Petrich;Петрич;град;Petrich;town;Благоевград;Blagoevgrad;56126;23.206857;41.398129;ПЕТРИЧПЕТРИЧ
