OBJECTID_1;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto;REG_NAME;REG_LNAME;EKATTE;POINT_X;POINT_Y;key_VIL_MUN
1;Костенец;Kostenetz;Моминпроход;град;Mominprohod;town;София;Sofia;50245;23.870713;42.327767;МОМИНПРОХОДКОСТЕНЕЦ
2;Чепеларе;Chepelare;Пампорово;курорт;Pamporovo;resort;Смолян;Smolyan;0;24.697035;41.655005;ПАМПОРОВОЧЕПЕЛАРЕ
3;Балчик;Balchik;Албена;курорт;Albena;resort;Добрич;Dobrich;0;28.071514;43.366348;АЛБЕНАБАЛЧИК
4;Самоков;Samokov;Боровец;курорт;Borovets;resort;София;Sofia;0;23.60555;42.270201;БОРОВЕЦСАМОКОВ
5;Варна;Varna;Златнипясъци;курорт;Zlatnipyasatsi;resort;Варна;Varna;0;28.032087;43.261;ЗЛАТНИПЯСЪЦИВАРНА
6;Несебър;Nesebar;Слънчевбряг;курорт;Slanchevbryag;resort;Бургас;Burgas;0;27.710179;42.695284;СЛЪНЧЕВБРЯГНЕСЕБЪР
7;Варна;Varna;Св.св.КонстантиниЕлена;курорт;St.KonstantiniElena;resort;Варна;Varna;0;28.004289;43.229842;СВ.СВ.КОНСТАНТИНИЕЛЕНАВАРНА
8;Варна;Varna;Чайка;курорт;Chayka;resort;Варна;Varna;0;28.01501;43.25104;ЧАЙКАВАРНА
9;Несебър;Nesebar;Елените;курорт;Elenite;resort;Бургас;Burgas;0;27.810798;42.704368;ЕЛЕНИТЕНЕСЕБЪР
10;Трявна;Tryavna;Донкино;село;Donkino;village;Габрово;Gabrovo;22962;25.500598;42.786327;ДОНКИНОТРЯВНА
11;Трън;Tran;Насалевци;село;Nasalevtsi;village;Перник;Pernik;51130;22.506774;42.822835;НАСАЛЕВЦИТРЪН
13;Трън;Tran;Главановци;село;Glavanovtsi;village;Перник;Pernik;14979;22.518391;42.817933;ГЛАВАНОВЦИТРЪН
23;ГорнаМалина;GornaMalina;ГорнаМалина;село;GornaMalina;village;София;Sofia;16314;23.708875;42.691784;ГОРНАМАЛИНАГОРНАМАЛИНА
24;Самоков;Samokov;Шипочане;село;Shipochane;village;София;Sofia;83243;23.616457;42.348083;ШИПОЧАНЕСАМОКОВ
29;ЕлинПелин;ElinPelin;Богданлия;село;Bogdanliya;village;София;Sofia;4604;23.689049;42.61505;БОГДАНЛИЯЕЛИНПЕЛИН
30;ЕлинПелин;ElinPelin;Караполци;село;Karapoltsi;village;София;Sofia;36422;23.701183;42.618637;КАРАПОЛЦИЕЛИНПЕЛИН
36;ЕлинПелин;ElinPelin;Огняново;село;Ognyanovo;village;София;Sofia;53343;23.733007;42.620594;ОГНЯНОВОЕЛИНПЕЛИН
37;Костенец;Kostenetz;Подгорие;село;Podgorie;village;София;Sofia;56993;23.769464;42.374768;ПОДГОРИЕКОСТЕНЕЦ
38;Ихтиман;Ihtiman;Черньово;село;Chernyovo;village;София;Sofia;81253;23.763343;42.414139;ЧЕРНЬОВОИХТИМАН
41;ГорнаМалина;GornaMalina;Гайтанево;село;Gaytanevo;village;София;Sofia;14338;23.753424;42.646111;ГАЙТАНЕВОГОРНАМАЛИНА
45;Сливница;Slivnitza;Братушково;село;Bratushkovo;village;София;Sofia;6175;22.976671;42.829414;БРАТУШКОВОСЛИВНИЦА
47;Годеч;Godech;Букоровци;село;Bukorovtsi;village;София;Sofia;7020;22.969827;42.992027;БУКОРОВЦИГОДЕЧ
48;Годеч;Godech;Каленовци;село;Kalenovtsi;village;София;Sofia;35345;22.960699;42.988405;КАЛЕНОВЦИГОДЕЧ
49;Драгоман;Dragoman;Беренде;село;Berende;village;София;Sofia;3890;22.932987;42.990668;БЕРЕНДЕДРАГОМАН
52;Драгоман;Dragoman;Драгоман;град;Dragoman;town;София;Sofia;23409;22.929661;42.921714;ДРАГОМАНДРАГОМАН
54;Сливница;Slivnitza;Бахалин;село;Bahalin;village;София;Sofia;2926;22.914133;42.885031;БАХАЛИНСЛИВНИЦА
56;Сливница;Slivnitza;Бърложница;село;Barlozhnitsa;village;София;Sofia;7541;22.940278;42.850084;БЪРЛОЖНИЦАСЛИВНИЦА
57;Сливница;Slivnitza;Драготинци;село;Dragotintsi;village;София;Sofia;23474;22.897908;42.858315;ДРАГОТИНЦИСЛИВНИЦА
58;Сливница;Slivnitza;Радуловци;село;Radulovtsi;village;София;Sofia;61621;22.933236;42.829343;РАДУЛОВЦИСЛИВНИЦА
59;Сливница;Slivnitza;Ракита;село;Rakita;village;София;Sofia;61964;22.932077;42.788346;РАКИТАСЛИВНИЦА
60;Брезник;Breznik;ГорниРоманци;село;GorniRomantsi;village;Перник;Pernik;16612;22.888962;42.782619;ГОРНИРОМАНЦИБРЕЗНИК
61;Брезник;Breznik;Красава;село;Krasava;village;Перник;Pernik;39517;22.8715;42.796003;КРАСАВАБРЕЗНИК
62;Чупрене;Chuprene;Бостаните;село;Bostanite;village;Видин;Vidin;5788;22.684241;43.567004;БОСТАНИТЕЧУПРЕНЕ
63;Вършец;Varshetz;Клисурскиманастир;манастир;Klisurskimanastir;monastery;Монтана;Montana;37318;23.20558;43.183443;КЛИСУРСКИМАНАСТИРВЪРШЕЦ
64;Ябланица;Yablanitza;Мириовец;село;Miriovets;village;Ловеч;Lovech;48310;24.122635;42.999612;МИРИОВЕЦЯБЛАНИЦА
65;Троян;Troyan;Лакарево;село;Lakarevo;village;Ловеч;Lovech;43089;24.870216;42.933131;ЛАКАРЕВОТРОЯН
66;Тетевен;Teteven;Кръкожабене;село;Krakozhabene;village;Ловеч;Lovech;40289;24.126311;42.944778;КРЪКОЖАБЕНЕТЕТЕВЕН
67;Тетевен;Teteven;Равна;село;Ravna;village;Ловеч;Lovech;61087;24.122806;42.946534;РАВНАТЕТЕВЕН
