OBJECTID_1 *;UTMNameFul;Status;NAME_Obshtina;L_NAME_Obshtina;Name_bg_naseleno_myasto;Descr_bg_naseleno_myasto;Name_en_naseleno_myasto;Descr_en_naseleno_myasto
1;FL7766;незаети площадки;Петрич;Petrich;Коларово;село;Kolarovo;village
2;FL8726;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village
3;FL6777;незаети площадки;Петрич;Petrich;Ключ;село;Klyuch;village
4;FL7797;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village
5;FL6748;незаети площадки;Петрич;Petrich;Габрене;село;Gabrene;village
6;FL7748;незаети площадки;Петрич;Petrich;Коларово;село;Kolarovo;village
7;FL8708;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village
8;FL8748;незаети площадки;Петрич;Petrich;Петрич;град;Petrich;town
9;FL6769;незаети площадки;Петрич;Petrich;Габрене;село;Gabrene;village
10;FL6799;незаети площадки;Петрич;Petrich;Ключ;село;Klyuch;village
11;FL7739;незаети площадки;Петрич;Petrich;Самуилово;село;Samuilovo;village
12;FL7799;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village
13;FL8729;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village
14;FL7850;незаети площадки;Петрич;Petrich;Коларово;село;Kolarovo;village
15;FL7801;незаети площадки;Петрич;Petrich;Ключ;село;Klyuch;village
16;FL7811;незаети площадки;Петрич;Petrich;Камена;село;Kamena;village
17;FL8801;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village
18;FL8803;незаети площадки;Петрич;Petrich;Беласица;село;Belasitsa;village
19;FL6884;незаети площадки;Петрич;Petrich;Боровичене;село;Borovichene;village
20;FL7814;незаети площадки;Петрич;Petrich;Кладенци;село;Kladentsi;village
21;FL7835;незаети площадки;Петрич;Petrich;Самуилово;село;Samuilovo;village
22;FL8815;незаети площадки;Петрич;Petrich;Петрич;град;Petrich;town
23;FL9895;незаети площадки;Петрич;Petrich;Кулата;село;Kulata;village
24;GL1875;незаети площадки;Сандански;Sandanski;Голешово;село;Goleshovo;village
25;FL6866;незаети площадки;Петрич;Petrich;Гега;село;Gega;village
26;FL8846;незаети площадки;Петрич;Petrich;Петрич;град;Petrich;town
27;FL9806;незаети площадки;Петрич;Petrich;Петрич;град;Petrich;town
28;GL1816;незаети площадки;Сандански;Sandanski;Яново;село;Yanovo;village
