form_main_source;form_main_rain;form_main_wind_direction;form_main_wind_force;form_main_cloud_level;form_main_threats;form_birds_name;form_birds_count_units;form_birds_count_type;form_birds_nesting;form_birds_sex;form_birds_age;form_birds_marking;form_birds_status;form_birds_behaviour;form_birds_death;form_birds_nest_substrate;form_birds_nest_location;form_birds_nest_height;form_birds_nest_position;form_birds_age_individual;form_birds_nest_success;form_herp_name;form_herp_gender;form_herp_age;form_herp_habitat;form_herp_danger_observation;form_cbm_distance;form_cbm_visit_number;form_cbm_sector;form_cbm_habitat;form_ciconia_substratum;form_ciconia_column;form_ciconia_column_type;form_ciconia_tree;form_ciconia_building;form_ciconia_not_occupied;form_ciconia_new_birds
Единични наблюдения;Не вали;E;0 - Безветрие;0%;Култивация;Larus cachinnans | Каспийска чайка;Индивиди;Точен брой;Колония;Мъжки;Ad;Цветен пръстен;Не гнездящ;Храни се;Превозно средство;На дървета;Единично дърво;1-3 м.;До стъблото;Ad;Заето гнездо;Ablepharus kitaibelii | Късокрак гущер;M (мъжки);Ad (Възрастен);1. Светли иглолистни гори с храсталаци;Пожари;1 - (0 - 25 m);E - първо посещение;1;A.1 - Широколистни гори;Стълб;с жици;бетонен;акация(салкъм);покрив на църква;тази година не са идвали въобще;ДВЕ птици
Средно зимно преброяване;Ръми;ENE;1 - Тих вятър;10%;Използване на пестициди;Alectoris sp. | Неопределен кеклик;Двойки;Мин.;Гнездо;Женски;Subad;Метален пръстен;Възможно гнездене;Ловува;Отрова;На храсти;Група дървета;3-5 м.;На страничен клон;Subad;Мътене;Anguis colchica | Източен слепок;F (женски);Sub (млад, неполовозрял);1.1. гъсти иглолистни гори - култури и други;Сечи;2 - (25 -100 m);L - второ посещение;2;A.2 - Иглолистни гори;Дърво;без жици;железен;бряст;покрив на фурна;появили са се, но после изчезнали;EДНА птица
МОВП;Преваляване;ESE;2 - Лек бриз;20%;Наторяване;Accipiter brevipes | Късопръст ястреб;Гнездо(а);Макс.;;Неопределен;Imm.;Крилометка;Вид в гнездови хабитат;Строеж на гнездо / гнездова камера;Лов;На скали;Окрайнина на гора;5-10 м.;На върха;Imm.;Pull.;Anguis fragilis | Слепок;Двойка/Копула;Juv (ювенилен, новоизлюпен);2. смесени гори;Строежи;3 - (над 100 m);;3;A.3 - Смесени гори;Покрив;;дървен;бор;покрив на училище;;
Миграция;;N;3 - Слаб вятър;30%;Напояване;Accipiter gentilis | Голям ястреб;Пеещ мъжки;Диапазон;;;Juv;Трансмитер;Пеещ мъжки;Възрастни хранещи малки;Неизвестна;В тръстика;В гора;над 10 м.;;Juv;Излетели малки;Bombina bombina | Червенокоремна бумка;;Larvae (Ларва);3. силно разредени иглолистни гори с храсталаци;Кариери;f - (птици в полет);;4;A.4 - Алувиални и много влажни гори и храсталаци;Комин;;;върба;покрив на читалище;;
Мониторинг влажни зони;;NE;4 - Умерен вятър;40%;Паша;Accipiter nisus | Малък ястреб;Семейство ad + juv.;Неопределен брой;;;Pull;;Твърде вероятно гнездене;Брачни игри / ухажване / копулация;Болест;На земята;;;;Pull;Неуспешно гнездо (Oтсичане на дървото);Bombina variegata | Жълтокоремна бумка;;Eggs (яйца);3.1. поляни, пасища, ливади с разпръснати храсти;Замърсяване;;;5;B.1 - Храсталаци на местата с умерен климат;;;;дъб;покрив на кметство;;
Наблюдения на земноводни, влечуги и бозайници;;NNE;5 - Умерен до силен вятър;50%;Изоставяне на пасторални системи;Acrocephalus agricola | Индийско шаварче;;;;;0 година;;Двойка в гнездови хабитат;В полет (РП, ПП, АП);;Дупки в земята;;;;0 година;Неуспешно гнездо (Падане на дървото);Bufo bufo | Кафява крастава жаба;;;4. светли широколистни гори с храсталаци;Бракониери;;;6;B.2 - Сухолюбиви храсталаци;;;;липа;покрив на частна къща;;
Горите на орела;;NNW;6 - Силен вятър;60%;Реорганизация на селскостопански земи;Acrocephalus arundinaceus | Тръстиково шаварче;;;;;1 година;;Заета територия;Нощувка (извън гнездовия период);;На сграда;;;;1 година;Неуспешно гнездо (Ограбване);Caretta caretta | Карета;;;4.1. гъсти широколистни гори;Ветропарк;;;7;B.3 - Степни и сухолюбиви тревни съобщества по варовити терени;;;;топола;покрив на трафопост;;
Мониторинг на египетски лешояд;;NW;7 - Доста силен вятър;70%;Отстраняване на плетове и храсти;Acrocephalus dumetorum | Градинско шаварче;;;;;2 година;;Брачни игри;Излетели индивиди от местата за нощуване (основно за гъски);;На ел. стълбове;;;;2 година;Неуспешно гнездо (Безпокойство);Chelonia mydas | Зелена морска костенурка;;;5. силно разредени широколистни гори с храсталаци;Соларен парк;;;8;B.4 - Тревни съобщества по сухи силикатни терени;;;;чинар;покрив на фабрика;;
;;S;8 - Много силен вятър;80%;Животновъдство;Acrocephalus melanopogon | Мустакато шаварче;;;;;3 година;;Посещаване на вероятно гнездо;Кацнала (дърво, храст, стълб, на земята);;Друго (свободен текст);;;;3 година;Неуспешно гнездо (Хищничество / канибализъм);Coronella austriaca | Медянка;;;6. екотон дървесно-храстова, тревна растителност;Мини ВЕЦ;;;9;B.5 - Алпийски и субалпийски тревни съобщества;;;;черница;покрив на баня;;
;;SE;9 - Щорм;90%;Хранене на добитък;Acrocephalus paludicola | Водно шаварче;;;;;4 година;;Проява на тревога;Представен;;;;;;4 година;Неуспешно гнездо (Неизвестни причини);Darevskia praticola | Горски гущер;;;7. пасища и ливади без да има наблизо гори или храсти или само с единични такива;Разораване на пасища и мери;;;10;B.6 - Тревни съобщества по влажни терени;;;;сухо;покрив на друга;;
;;SSE;10 - Силен Щорм;100%;Модифициране на култивационните практики;Acrocephalus palustris | Мочурно шаварче;;;;;5 година;;Мътилно петно;зимуващ(и);;;;;;5 година;;Dolichophis caspius | Голям стрелец;;;8. смесица от градини, лозя, пасища, ливади, синури, горички или храсти;Залесяване с нетипични видове;;;;B.7 - Мезофилни тревни съобщества;;;;друго;комин на църква;;
;;SSW;11 - Жесток щорм;;Селскостопански и горскостопански дейности, които не са посочени по-горе;Acrocephalus schoenobaenus | Крайбрежно шаварче;;;;;6 година;;Строеж на гнездо;Храни се / ловува;;;;;;6 година;;Elaphe quatuorlineata | Ивичест смок (кощерица);;;9. интензивни овощни градини и лозя - лишени от тревно покритие;Прекомерно обрастване на пасища;;;;C.1 - Подобрени тревни площи;;;;;комин на фурна;;
;;SW;12 - Ураган;;Залесяване;Acrocephalus scirpaceus | Блатно шаварче;;;;;;;Сигурно гнездене;Брачни игри, ухажване;;;;;;;;Elaphe sauromates | Пъстър смок;;;10. скални местообитания;Пресъхващи водни тела;;;;C.2 - Посеви и други тревни култури;;;;;комин на училище;;
;;W;;;Горскостопански сечи;Actitis hypoleucos | Късокрил кюкавец;;;;;;;Симулиране на ранена птица;В полет;;;;;;;;Emys orbicularis | Обикновена блатна костенурка;;;11. дюни обрасли с хр-астова растителност;Пътища;;;;C.3 - Овощни градини, дървесни и храстови плантации;;;;;комин на читалище;;
;;WNW;;;Експлоатация без повторно засаждане;Actitis macularia | Петнист кюкавец;;;;;;;Гнездо/черупки от яйца;Пеещ(и) мъжки;;;;;;;;Epidalea viridis | Зелена крастава жаба;;;11.1. лонгозни гори;Инвазивни видове;;;;C.4 - Ивици дървета, храсти и мозайки от тях;;;;;комин на кметство;;
;;WSW;;;Косене / сечи;Aegithalos caudatus | Дългоопашат синигер;;;;;;;Нелетящи млади;;;;;;;;;Eryx jaculus | Пясъчна (турска) боа;;;12. галерийните гори край реките;Други;;;;D.1 - Градове;;;;;комин на частна къща;;
;;;;;Отстраняване на подраст;Aegolius funereus | Пернатонога кукумявка;;;;;;;Посещаване на скрито гнездо/мътене;;;;;;;;;Eurotestudo hermanni | Шипоопашата костенурка;;;12.1. дерета;Зарибяване;;;;D.2 - Села;;;;;комин на трафопост;;
;;;;;Отстраняване на мъртви и загиващи дървета;Aegypius monachus | Черен лешояд;;;;;;;Носене на храна за малки;;;;;;;;;Hyla arborea | Жаба дървесница;;;13. влажни зони - крайбрежия обрасли с тръстика;Убит на пътя;;;;D.3 - Индустриални зони;;;;;комин на фабрика;;
;;;;;Общо управление на горите;Aix galericulata | Мандаринка;;;;;;;Гнездо с яйца;;;;;;;;;Ichthyosaura alpestris | Алпийски тритон;;;14. Водни местообитания:;Мъртъв екземпляр;;;;D.4 - Градски паркове и градини;;;;;комин на баня;;
;;;;;Изкуствено залесяване;Aix sponsa | Каролинка;;;;;;;Гнездо с малки;;;;;;;;;Lacerta agilis | Ливаден гущер;;;14.1 рекa;Премахване на храсти;;;;D.5 - Индустриални водоеми;;;;;комин на друга;;
;;;;;Повторно засаждане;Alauda arvensis | Полска чучулига;;;;;;;Зимуващ;;;;;;;;;Lacerta agilis bosnica | Ливаден гущер;;;14.2 езера;Съблекло;;;;E.1 - Сипеи;;;;;;;
;;;;;Изгаряне;Alca torda | Дебелоклюна гагарка;;;;;;;Мигриращ;;;;;;;;;Lacerta agilis chersonensis | Ливаден гущер;;;14.3 язовир;Изпражнения;;;;E.2 - Скали, сипеи и пясъци във вътрешността на страната;;;;;;;
;;;;;Отглеждане на рибни и черупчести аквакултури;Alcedo atthis | Земеродно рибарче;;;;;;;Вагрант / скитащ;;;;;;;;;Lacerta trilineata | Ивичест гущер;;;14.4 микроязовир;Пеещ мъжки;;;;E.3 - Пясъчни дюни и полета във вътрешността на страната;;;;;;;
;;;;;Професионален риболов;Alectoris barbara | Берберски кеклик;;;;;;;;;;;;;;;;Lacerta viridis | Зелен гущер;;;14.5 канал;;;;;E.4 - Пещери;;;;;;;
;;;;;Риболов на определени места;Alectoris chukar | Тракийски кеклик;;;;;;;;;;;;;;;;Lissotriton graecus | Влакноопашато тритонче;;;14.6 други;;;;;E.5 - Участъци с вечен лед и снаг;;;;;;;
