OBJECTID *;species;bg;en;EURING;Code
1;Accipiter brevipes;Късопръст ястреб;Levant Sparrowhawk;2730;
2;Accipiter gentilis;Голям ястреб;Goshawk;2670;ГЯ
3;Accipiter nisus;Малък ястреб;Eurasian Sparrowhawk;2690;МЯ
4;Acrocephalus agricola;Индийско шаварче;Paddyfield Warbler;12470;
5;Acrocephalus arundinaceus;Тръстиково шаварче;Great Reed Warbler;12530;ТШ
6;Acrocephalus dumetorum;Градинско шаварче;Blyth’s Reed Warbler;12480;
7;Acrocephalus melanopogon;Мустакато шаварче;Moustached Warbler;12410;
8;Acrocephalus paludicola;Водно шаварче;Aquatic Warbler;12420;
9;Acrocephalus palustris;Мочурно шаварче;Marsh Warbler;12500;
10;Acrocephalus schoenobaenus;Крайбрежно шаварче;Sedge Warbler;12430;
11;Acrocephalus scirpaceus;Блатно шаварче;Eurasian Reed Warbler;12510;
12;Actitis hypoleucos;Късокрил кюкавец;Common Sandpiper;5560;
13;Actitis macularia;Петнист кюкавец;Spotted Sandpiper;5570;
14;Aegithalos caudatus;Дългоопашат синигер;Long-tailed Tit;14370;ДС
15;Aegolius funereus;Пернатонога кукумявка;Tengmalm's Owl;7700;
16;Aegypius monachus;Черен лешояд;Cinereous Vulture;2550;
17;Aix galericulata;Мандаринка;Mandarin Duck;1780;
18;Aix sponsa;Каролинка;Wood Duck;1770;
19;Alauda arvensis;Полска чучулига;Skylark;9760;ПЧ
20;Alca torda;Дебелоклюна гагарка;Razorbill;6360;
21;Alcedo atthis;Земеродно рибарче;Kingfisher;8310;ЗР
22;Alectoris barbara;Берберски кеклик;Barbary partridge;3590;
23;Alectoris chukar;Тракийски кеклик;Chukar;3550;ТК
24;Alectoris graeca;Планински кеклик;Rock Partridge;3570;ПЛК
25;Alectoris rufa;Червен кеклик;Red-legged Partridge;3580;
26;Alle alle;Малка гагарка;Little auk;6470;
27;Alopochen aegyptiacus;Египетска гъска;Egyptian goose;1700;
28;Amandava amandava;;;20250;
29;Ammomanes deserti;Пустинна чучулига;Desert Lark;9570;
30;Ammoperdix griseogularis;Персийска пустинна яребица;See-see Partridge;3620;
31;Anas acuta;Шилоопшата патица;Pintail;1890;
32;Anas clypeata;Клопач;Shoveler;1940;
33;Anas crecca;Зимно бърне;Teal;1840;
34;Anas discors;Синьокрило бърне;Blue-winged teal;1920;
35;Anas falcata;Сърпокрила патица;Falcated Duck;1810;
36;Anas penelope;Фиш;Wigeon;1790;
37;Anas platyrhynchos;Зеленоглава патица;Mallard;1860;ЗП
38;Anas querquedula;Лятно бърне;Garganey;1910;
39;Anas strepera;Сива патица;Gadwall;1820;
40;Anser albifrons;Голяма белочела гъска;Greater White-fronted Goose;1590;
41;Anser anser;Сива гъска;Greylag Goose;1610;
42;Anser brachyrhynchus;Късоклюна гъска;Pink-footed goose;1580;
43;Anser caerulescens;Снежна гъска;Snow Goose;1630;
44;Anser erythropus;Малка белочела гъска;Lesser White-fronted Goose;1600;
45;Anser fabalis;Посевна гъска;Bean Goose;1570;
46;Anser spp.;Неопределени гъски;Unidentified gooses;1659;
47;Anthropoides virgo;Момин жерав;Demoiselle Crane;4410;
48;Anthus berthelotii;Канарска бъбрица;Berthelot's pipit;10060;
49;Anthus campestris;Полска бъбрица;Tawny Pipit;10050;
50;Anthus cervinus;Червеногуша бъбрица;Red-throated Pipit;10120;
51;Anthus gustavi;Сибирска бъбрица;Pechora Pipit;10100;
52;Anthus hodgsoni;Зелена бъбрица;Olive-backed pipit;10080;
53;Anthus pratensis;Ливадна бъбрица;Meadow Pipit ;10110;
54;Anthus richardi;Степна бъбрица;Richard’s Pipit;10020;
55;Anthus spinoletta;Водна бъбрица;Water Pipit;10140;
56;Anthus trivialis;Горска бъбрица;Tree Pipit;10090;ГБ
57;Apus affinis;Малък бързолет;Little Swift;8000;
58;Apus apus;Черен бързолет;Swift;7950;ЧБ
59;Apus caffer;Белокръст бързолет;White-rumped swift ;7990;
60;Apus melba;Алпийски бързолет;Alpine Swift;7980;
61;Apus pallidus;Блед бързолет;Pallid Swift;7960;
62;Apus unicolor;Едноцветен бързолет;Plain Swift;7940;
63;Aquila chrysaetos;Скален орел;Golden Eagle;2960;СКО
64;Aquila clanga;Голям креслив орел;Greater Spotted Eagle;2930;
65;Aquila heliaca;Царски орел;Imperial Eagle;2950;
66;Aquila nipalensis;Степен орел;Steppe Eagle;30530;
67;Aquila pomarina;Малък креслив орел;Lesser Spotted Eagle;2920;
68;Aquila rapax;Африкански степен орел;Tawny Eagle;2940;
69;Ardea cinerea;Сива чапла;Grey Heron;1220;СЧ
70;Ardea purpurea;Ръждива чапла;Purple Heron;1240;
71;Ardeola ralloides;Гривеста чапла;Squacco Heron;1080;
72;Arenaria interpres;Камъкообръщач;Turnstone ;5610;
73;Asio flammeus;Блатна сова;Short-eared Owl;7680;
74;Asio otus;Горска ушата сова;Long-eared Owl;7670;
75;Athene noctua;Домашна кукумявка;Little Owl;7570;ДК
76;Aythya collaris;Пръстенчатоклюна потапница;Ring-necked Duck;2000;
77;Aythya ferina;Кафявоглава потапница;Common Pochard;1980;
78;Aythya fuligula;Качулата потапница;Tufted Duck;2030;
79;Aythya marila;Планинска потапница;Greater Scaup;2040;
80;Aythya nyroca;Белоока потапница;Ferruginous Duck;2020;
81;Bombycilla garrulus;Копринарка;Bohemian Waxwing ;10480;
82;Bonasa bonasia;Лещарка;Hazel Grouse;3260;
83;Botaurus lentiginosus;;;960;
84;Botaurus stellaris;Голям воден бик;Bittern ;950;
85;Branta bernicla;Черна гъска;Brent Goose;1680;
86;Branta canadensis;Канадска гъска;Canadian Goose;1660;
87;Branta leucopsis;Белобуза гъска;Barnacle Goose;1670;
88;Branta ruficollis;Червеногуша гъска;Red-breasted Goose;1690;
89;Bubo bubo;Бухал;Eagle Owl;7440;
90;Bubulcus ibis;Биволска чапла;Cattle Egret;1110;
91;Bucanetes githagineus;;Trumpeter finch;16760;
92;Bucanetes mongolicus;;Mongolian finch;16750;
93;Bucephala clangula;Звънарка;Goldeneye ;2180;
94;Bucephala islandica;;;2170;
95;Bulweria bulwerii;;;340;
96;Burhinus oedicnemus;Турилик;Stone Curlew;4590;
97;Buteo buteo;Обикновен мишелов;Common Buzzard;2870;М
98;Buteo lagopus;Северен мишелов;Rough-legged Buzzard ;2900;
99;Buteo rufinus;Белоопашат мишелов;Long-legged Buzzard;2880;
100;Calandrella brachydactyla;Късопръста чучулига;Short-toed Lark;9680;
101;Calandrella rufescens;Сива чучулига;Lesser Short-toed Lark;9700;
102;Calcarius lapponicus;Лапландска овесарка;Lapland Bunting;18470;
103;Calidris alba;Трипръст брегобегач;Sanderling;4970;
104;Calidris alpina;Тъмногръд брегобегач;Dunlin;5120;
105;Calidris canutus;Голям брегобегач;Red Knot;4960;
106;Calidris ferruginea;Кривоклюн брегобегач;Curlew Sandpiper;5090;
107;Calidris fuscicollis;Белокръст брегобегач;White-rumped sandpiper;5050;
108;Calidris maritima;Морски брегобегач;Purple sandpiper;5100;
109;Calidris mauri;Западен брегобегач;Western sandpiper ;4990;
110;Calidris melanotos;Цветногръд брегобегач;Pectoral Sandpiper;5070;
111;Calidris minuta;Малък брегобегач;Little Stint;5010;
112;Calidris pusilla;Ципестопръст брегобегач;Semipalmated Sandpiper;4980;
113;Calidris temminckii;Сив брегобегач;Temminck's Sandpiper;5020;
114;Calonectris diomedea;Жълтоклюн буревестник;Cory's Shearwater;360;
115;Caprimulgus europaeus;Козодой;Nightjar;7780;
116;Caprimulgus ruficollis;;;7790;
117;Carduelis cannabina;Обикновено конопарче;Linnet;16600;КО
118;Carduelis carduelis;Щиглец;Goldfinch;16530;Щ
119;Carduelis chloris;Зеленика;Greenfinch;16490;З
120;Carduelis flammea;Брезова скатия;Common Redpoll;16630;
121;Carduelis flavirostris;Жълтоклюно конопарче;Twite;16620;
122;Carduelis hornemanni;Полярна скатия;Arctic Redpoll;16640;
123;Carduelis spinus;Елшова скатия;Siskin;16540;
124;Carpodacus erythrinus;Червена чинка;Common Rosefi nch;16790;
125;Carpodacus rubicilla;;;16960;
126;Cepphus grylle;Обикновен чистик;Black Guillemot;6380;
127;Cercotrichas galactotes;Трънковче;Rufous-tailed scrub robin;10950;
128;Certhia brachydactyla;Градинска дърволазка;Short-toed Treecreeper;14870;
129;Certhia familiaris;Горска дърволазка;Treecreeper;14860;
130;Ceryle rudis;;;8330;
131;Cettia cetti;Свилено шаварче;Cetti's Warbler;12200;
132;Charadrius alexandrinus;Морски дъждосвирец;Kentish Plover;4770;
133;Charadrius asiaticus;Каспийски дъждосвирец;Caspian Plover;4800;
134;Charadrius dubius;Речен дъждосвирец;Little Ringed Plover;4690;РД
135;Charadrius hiaticula;Пясъчен дъждосвирец;Common Ringed Plover;4700;
136;Charadrius leschenaultii;Дебелоклюн дъждосвирец;Greater Sand Plover;4790;
137;Charadrius morinellus;Планински дъждосвирец;Eurasian Dotterel;4820;
138;Chersophilus duponti;Кривоклюна чучулига;Dupont's lark;9590;
139;Chettusia gregaria;Степна калугерица;Sociable lapwing;4910;
140;Chettusia leucura;Белоопашата калугерица;White-tailed Lapwing;4920;
141;Chlamydotis undulata;;Houbara Burstard;4440;
142;Chlidonias hybridus;Белобуза рибарка;Whiskered Tern;6260;
143;Chlidonias leucopterus;Белокрила рибарка;White-winged Tern;6280;
144;Chlidonias niger;Черна рибарка;Black Tern;6270;
145;Chrysolophus pictus;;Golden Pheasant;3960;
146;Ciconia ciconia;Бял щъркел;White Stork;1340;БЩ
147;Ciconia nigra;Черен щъркел;Black Stork;1310;ЧЩ
148;Cinclus cinclus;Воден кос;Dipper;10500;ВК
149;Circaetus gallicus;Орел змияр;Short-toed Eagle;2560;ОЗ
150;Circus aeruginosus;Тръстиков блатар;Marsh Harrier;2600;ТБ
151;Circus cyaneus;Полски блатар;Hen Harrier;2610;
152;Circus macrourus;Степен блатар;Pallid Harrier;2620;
153;Circus pygargus;Ливаден блатар;Montagu's Harrier;2630;
154;Cisticola juncidis;Пъстроопашато шаварче;Zitting Cisticola;12260;
155;Clamator glandarius;Качулата кукувица;Spotted Cuckoo;7160;
156;Clangula hyemalis;Ледена потапница;Long-tailed Duck;2120;
157;Coccothraustes coccothraustes;Черешарка;Hawfinch;17170;ЧЕ
158;Coccyzus americanus;;Yellow-billed cuckoo;7280;
159;Columba bollii;;Bolle's pigeon;6720;
160;Columba junoniae;;Laurel pigeon;6730;
161;Columba livia;Полудив гълъб;Feral Pigeon;6650;
162;Columba oenas;Гълъб хралупар;Stock Pigeon;6680;
163;Columba palumbus;Гривяк;Woodpigeon;6700;ГР
164;Columba trocaz;;Trocaz pigeon;6710;
165;Coracias garrulus;Синявица;European Roller;8410;СИ
166;Corvus corax;Гарван гробар;Raven;15720;ГА
167;Corvus corone;Сива врана;Hooded Crow;15670;СВ
168;Corvus frugilegus;Посевна врана;Rook;15630;ПВ
169;Corvus monedula;Чавка;Jackdaw;15600;ЧА
170;Coturnix coturnix;Пъдпъдък;Quail;3700;ПК
171;Crex crex;Ливаден дърдавец;Corncrake;4210;
