type;la;bg
plants;Acanthus spinosus*;Бодлив страшник
plants;Acer heldreichii subsp. visianii*;Визианов клен
plants;Achillea kotschyi (= Achillea urumoffii)*;Урумов равнец
plants;Achillea leptophylla*;Прилегналовлакнест равнец
plants;Achillea ochroleuca*;Бледожълт равнец
plants;Achillea thracica*;Тракийски равнец
plants;Acorus calamus*;Блатен аир
plants;Adiantum capillus-veneris*;Венерин косъм
plants;Adonis volgensis*;Волжки горицвет
plants;Aesculus hippocastanum*;Конски кестен
plants;Aethionema arabicum*;Арабска етионема
plants;Alchemilla achtarovii*;Ахтарово шапиче
plants;Alchemilla asteroantha*;Звездоцветно шапиче
plants;Alchemilla bandericensis*;Бъндерицово шапиче
plants;Alchemilla jumrukczalica*;Юмрукчалско шапиче
plants;Alchemilla mollis*;Меколистно шапиче
plants;Alchemilla pirinica*;Пиринско шапиче
plants;Aldrovanda vesiculosa*;Жлезиста алдрованда
plants;Alkanna jordanovii*;Йорданова айважива
plants;Alkanna stribrnyi*;Стрибърнова айважива
plants;Alkanna tinctoria*;Синя айважива
plants;Allium angulosum*;Ръбестостъблен лук
plants;Allium jubatum*;Качулест лук
plants;Allium montanum*;Планински лук
plants;Allium stojanovii*;Стоянов лук
plants;Alyssum borzaeanum*;Борзеанов игловръх
plants;Alyssum cuneifolium subsp. pirinicum*;Пирински игловръх
plants;Alyssum orbelicum*;Орбелийски игловръх
plants;Alyssum stribrnyi*;Стрибърнов игловръх
plants;Ammania verticillata*;Прешленолистна амания
plants;Amygdalus webbii*;Вебиев див бадем
plants;Anacamptis pyramidalis*;Обикновен анакамптис
plants;Anchusa davidovii*;Давидово винче
plants;Anchusa gmelinii*;Гмелиново винче
plants;Anchusa macedonica*;Македонско винче
plants;Anchusa stylosa*;Дългостълбчесто винче
plants;Anchusa velenovskyi*;Веленовскиево винче
plants;Androsace obtusifolia*;Тъполистен оклоп
plants;Anemone narcissiflora*;Нарцисова съсънка
plants;Anemone pavonina*;Червена съсънка
plants;Anemone sylvestris*;Горска съсънка
plants;Anthemis argyrophylla*;Сребристовлакнесто подрумиче
plants;Anthemis gaudium-solis*;Оранжево подрумиче
plants;Anthemis jordanovii*;Йорданово подрумиче
plants;Anthemis macrantha*;Едрокошничесто подрумиче
plants;Anthemis orbelica*;Рилско подрумиче
plants;Anthemis regis-borisii*;Борисово подрумиче
plants;Anthemis rumelica*;Влакнесто подрумиче
plants;Anthemis sancti-johanis*;Иваново подрумиче
plants;Anthemis stribrnyi*;Стрибърново подрумиче
plants;Anthemis virescens*;Плосколюспесто подрумиче
plants;Anthyllis aurea*;Златна раменка
plants;Apium nodiflorum*;Възлоцветна целина
plants;Apium repens*;Пълзяща целина
plants;Aquilegia aurea*;Златиста кандилка
plants;Aquilegia nigricans (= A. vulgaris )*;Обикновена кандилка
plants;Arabis collina*;Хълмова гъшарка
plants;Arabis ferdinandi-coburgii*;Пиринска гъшарка
plants;Arabis nova*;Скална гъшарка
plants;Arbutus andrachne*;Гола кумарка
plants;Arbutus unedo*;Жлезиста кумарка
plants;Arenaria ciliata*;Ресничеста песъчарка
plants;Arenaria cretica*;Критска песъчарка
plants;Arenaria gypsophylloides*;Азиатска песъчарка
plants;Arenaria pirinica*;Пиринска песъчарка
plants;Arenaria rhodopaea*;Родопска песъчарка
plants;Arenaria rigida*;Твърдолистна песъчарка
plants;Argusia sibirica*;Сибирска аргузия
plants;Aristolochia rotunda*;Кръглолистна вълча ябълка
plants;Artemisia chamaemelifolia*;Храстовиден пелин
plants;Artemisia eriantha*;Тъмнолюспест пелин
plants;Artemisia lerchiana*;Тънкожилест пелин
plants;Artemisia pedemontana*;Светлолюспест пелин
plants;Arum alpinum*;Алпийски змиярник
plants;Asperula involucrata*;Странджанска лазаркиня
plants;Asperula suberosa*;Пиринска лазеркиня
plants;Asplenium cuneifolium*;Клиновидно изтравниче
plants;Asplenium lepidum*;Люспесто изтравниче
plants;Astracantha aitosensis (= Astragalus aitosensis)*;Айтоски клин
plants;Astracantha thracica (= Astragalus thracicus)*;Тракийски клин
plants;Astragalus alopecurus*;Алпийско сграбиче
plants;Astragalus corniculatus*;Рогчесто сграбиче
plants;Astragalus dasyanthus*;Вълнестоцветно сграбиче
plants;Astragalus exscapus*;Безстъблово сграбиче
plants;Astragalus physocalix*;Мехуресточашково сграбиче
plants;Astragalus pubiflorus*;Мъхнатоцветно сграбиче
plants;Astragalus wilmottianus*;Вилмотиево сграбиче
plants;Astrodaucus littoralis*;Крайбрежен астродаукус
plants;Aubrieta gracilis subsp. scardica*;Грациозна аубриета
plants;Aurinia uechtritziana (= Lepidotrichum uechtritzianum)*;Черноморска ауриния
plants;Bassia hirsuta*;Влакнеста басия
plants;Bellevalia ciliata*;Ресничеста белевалия
plants;Blackstonia perfoliata*;Пронизанолистна блекстония
plants;Botrychium matricariifolium*;Лайкова лунна папрат
plants;Brassica nivalis subsp. jordanoffii*;Пиринско зеле
plants;Buglossoides glandulosa*;Жлезиста белоочица
plants;Bunium ferulaceum*;Буниум
plants;Bupleurum longifolium*;Дълголистна урока
plants;Bupleurum ranunculoides*;Лютиковидна урока
plants;Cachrys alpina*;Алпийски кахрис
plants;Caldesia parnasifolia*;Парнасиева калдезия
plants;Callitrichae brutia*;Крайморско дренче
plants;Calluna vulgaris*;Калуна
plants;Calystegia soldanella*;Дребно чадърче
plants;Campanula euxina*;Евксинска камбанка
plants;Campanula jordanovii*;Йорданова камбанка
plants;Campanula lanata*;Вълнеста камбанка
plants;Campanula latifolia*;Широколистна камбанка
plants;Campanula orphаnidea (= Petkovia orphanidea)*;Орфанийска камбанка
plants;Campanula transsilvanica*;Трансилванска камбанка
plants;Campanula versicolor*;Променливоцветна камбанка
plants;Capsella thracica*;Тракийска овчарска торбичка
plants;Caragana frutex subsp. mollis*;Карагана
plants;Cardamine parviflora*;Дребноцветна горва
plants;Cardamine penzesii*;Пензешова горва
plants;Carduus rhodopaeus (= Carduus adpressus subsp. rhodopaeus)*;Родопски магарешки бодил
plants;Carduus thracicus*;Тракийски магарешки бодил
plants;Centaurea achtarovii*;Ахтарова метличина
plants;Centaurea arenaria*;Пясъчна метличина
plants;Centaurea atropurpurea*;Тъмнопурпурна метличина
plants;Centaurea bovina*;Волска метличина
plants;Centaurea gracilenta*;Нежна метличина
plants;Centaurea immanuelis-loewii*;Имануелова метличина
plants;Centaurea inermis*;Дребна метличина
plants;Centaurea jankae*;Янкева метличина
