IME;UTMname;UTMfullNam;Index_1km;UTMNameFul;Status;X_1;Y_1;X_2;Y_2;X_3;Y_3;X_4;Y_4
67;FL;FL67;48;FL6748;незаети площадки;22.97220196;41.34560504;22.97193028;41.33660268;22.95998591;41.33680678;22.96025595;41.34580921
67;FL;FL67;69;FL6769;незаети площадки;22.9963687;41.35419521;22.99609361;41.345193;22.98414784;41.34539964;22.98442129;41.35440192
67;FL;FL67;77;FL6777;незаети площадки;23.00776263;41.33598295;23.00748615;41.32698077;22.99554379;41.32718853;22.99581864;41.33619077
67;FL;FL67;99;FL6799;незаети площадки;23.03221017;41.35356765;23.03193014;41.34456563;23.01998476;41.34477599;23.02026314;41.35377807
68;FL;FL68;47;FL6847;незаети площадки;22.97465266;41.42662556;22.97437986;41.41762334;22.96242068;41.41782802;22.96269183;41.4268303
68;FL;FL68;48;FL6848;незаети площадки;22.97492558;41.43562776;22.97465266;41.42662556;22.96269183;41.4268303;22.9629631;41.43583257
68;FL;FL68;66;FL6866;незаети площадки;22.99829785;41.41721026;22.99802189;41.40820815;22.9860646;41.40841525;22.98633892;41.41741742
68;FL;FL68;84;FL6884;незаети площадки;23.02165694;41.39878825;23.02137792;41.38978624;23.00942419;41.38999569;23.00970155;41.39899776
68;FL;FL68;88;FL6888;незаети площадки;23.02277426;41.4347961;23.02249474;41.42579416;23.01053441;41.42600387;23.01081228;41.43500588
69;FL;FL69;45;FL6945;незаети площадки;22.97683949;41.49864273;22.9765657;41.48964064;22.9645933;41.48984583;22.96486543;41.49884799
69;FL;FL69;73;FL6973;незаети площадки;23.01220352;41.48001567;23.01192502;41.47101374;22.99995631;41.47122254;23.00023315;41.48022454
69;FL;FL69;87;FL6987;незаети площадки;23.02529567;41.51581285;23.025015;41.50681105;23.01303979;41.50702136;23.0133188;41.51602322
69;FL;FL69;92;FL6992;незаети площадки;23.03586207;41.47059241;23.03558039;41.4615906;23.02361358;41.46180182;23.02389361;41.4708037
